Class_ID,Name, Sample_Num, Flag, Gender
n006971,Phil_Mogg, 356, 1, m
n002978,Gary_Player, 297, 1, m
n002839,Fran_McCaffery, 328, 1, m
n002818,Flip_van_der_Merwe, 197, 1, m
n001216,Briana_Evigan, 426, 1, f
n001512,Chantal_Kreviazuk, 259, 1, f
n005874,Max_Mosley, 324, 1, m
n001120,Bobby_Gillespie, 401, 1, m
n006460,Nevin_Yanıt, 313, 1, f
n008339,Svetlana_Kuznetsova, 415, 1, f
n002710,Fabrice_Luchini, 402, 1, m
n004530,Kakha_Kaladze, 334, 1, m
n000879,Baltasar_Garzón, 510, 1, m
n007120,Rachel_Bilson, 673, 1, f
n001774,Colette_Carr, 319, 1, f
n003444,Hervé_Mariton, 393, 1, m
n004491,Jyoti_Amge, 331, 1, f
n008245,Steve_Irwin, 296, 1, m
n006076,Mick_Wallace, 245, 1, m
n003878,Javier_Krahe, 258, 1, m
n001474,Cecilia_Brækhus, 400, 1, f
n009137,Yuuka_Maeda, 522, 1, f
n005010,Laura_Osnes, 505, 1, f
n001104,Bob_Guiney, 339, 1, m
n002655,Eva_Mona_Rodekirchen, 291, 1, f
n005067,Lee_Ha-nui, 385, 1, f
n009216,Àstrid_Bergès-Frisbey, 480, 1, f
n009076,Yasmin_Warsame, 276, 1, f
n004055,Jessiqa_Pace, 187, 1, f
n004459,Julio_César_Chávez_Jr., 360, 1, m
n007995,Shawn_Johnson, 392, 1, f
n004168,Joel_Coen, 559, 1, m
n005298,Lucas_Biglia, 354, 1, m
n003181,Grace_Gummer, 561, 1, f
n007469,Rocco_DiSpirito, 361, 1, m
n006614,Nori_Aoki, 260, 1, m
n005438,Maire_Aunaste, 193, 1, f
n004934,Kurtwood_Smith, 305, 1, m
n000915,Bartosz_Jurecki, 453, 1, m
n001693,Ciara, 584, 1, f
n003064,Giampaolo_Morelli, 311, 1, m
n004601,Kasey_Kahne, 344, 1, m
n000831,Avery_Johnson, 285, 1, m
n001706,Clare_Balding, 457, 1, f
n005608,Marian_Rivera, 341, 1, f
n003806,Jan_Ullrich, 329, 1, m
n001149,Bouabdellah_Tahri, 235, 1, m
n001116,Bobbi_Sue_Luther, 326, 1, f
n008462,Tereza_Kerndlová, 438, 1, f
n008242,Steve_Coogan, 560, 1, m
n009271,Željko_Obradović, 480, 1, m
n002918,Frédéric_de_Saint-Sernin, 130, 1, m
n004988,Lara_Flynn_Boyle, 495, 1, f
n001112,Bob_Peeters, 324, 1, m
n007982,Sharon_Van_Etten, 258, 1, f
n001517,Charl_Schwartzel, 367, 1, m
n001432,Carrie_Fletcher, 364, 1, f
n000227,Aleksandra_Kisio, 564, 1, f
n002070,Dawnn_Lewis, 346, 1, f
n007343,Richard_Stallman, 394, 1, m
n005106,Lene_Espersen, 363, 1, f
n008767,Uwe_Ochsenknecht, 482, 1, m
n003500,Hugo_Silva, 482, 1, m
n007034,Pippa_Middleton, 592, 1, f
n003376,Haşim_Kılıç, 318, 1, m
n009093,Yoenis_Céspedes, 243, 1, m
n002972,Gary_Herbert, 299, 1, m
n000236,Alessandra_Amoroso, 481, 1, f
n004722,Kenneth_Faried, 305, 1, m
n004334,Joseph_Yobo, 296, 1, m
n001744,Clemens_Schick, 463, 1, m
n008274,Stewart_Downing, 452, 1, m
n000017,Aaron_Rodgers, 319, 1, m
n007224,Raqesh_Vashisth, 357, 1, m
n003666,J._Holiday, 205, 1, m
n005591,Maria_Canals_Barrera, 460, 1, f
n001638,Christian_Noyer, 215, 1, m
n007881,Seif_Sharif_Hamad, 204, 1, m
n002694,Fabian_Delph, 361, 1, m
n003045,Gerhard_Dörfler, 317, 1, m
n002573,Eric_Cantor, 442, 1, m
n001664,Christoph_M._Ohrt, 356, 1, m
n001511,Chantal_Jouanno, 438, 1, f
n001167,Brandan_Wright, 240, 1, m
n001840,Cynthia_Olavarría, 434, 1, f
n001266,Bruno_Madinier, 272, 1, m
n003729,Jake_Owen, 445, 1, m
n003727,Jairam_Ramesh, 428, 1, m
n005482,Manon_Melis, 336, 1, f
n007017,Pierre_Lellouche, 316, 1, m
n008805,Vaneeza_Ahmad, 266, 1, f
n006843,Paul_Lawrie, 369, 1, m
n006618,Nova_Meierhenrich, 480, 1, f
n004275,Jonathan_Meyers, 559, 1, m
n002675,Ewa_Błaszczyk, 483, 1, f
n000100,Adrienne_Maloof, 485, 1, f
n000973,Beren_Saat, 452, 1, f
n005884,Maxi_Rodríguez, 424, 1, m
n008360,Sébastien_Squillaci, 292, 1, m
n008571,Tina_Ruland, 376, 1, f
