timestamp,attacco,targeted,target_class,strength_name,strength_values,accuracy_values,constant_values,avg_perturbations,accuracy_on_target_class
2024-06-26 16:25:43,C&W,False,,binary_search_steps,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.8206412825651302, 0.985, 0.863, 0.658, 0.234, 0.062, 0.031, 0.021, 0.024]","{""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.034, 0.018, 0.009, 0.005, 0.003, 0.002, 0.001, 0.001]",
2024-06-26 18:21:38,C&W,False,,confidence,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.8206412825651302, 0.892, 0.893, 0.893, 0.893, 0.893, 0.893, 0.893, 0.893, 0.893, 0.893]","{""binary_search_steps"": 1, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.032, 0.033, 0.033, 0.034, 0.034, 0.034, 0.034, 0.034, 0.035, 0.035]",
2024-06-26 20:13:51,C&W,False,,lr,"[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]","[0.8206412825651302, 0.981, 0.991, 0.992, 0.993, 0.993, 0.993, 0.994, 0.994, 0.994, 0.993]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""initial_const"": 1000}","[0, 0.034, 0.056, 0.071, 0.082, 0.09, 0.093, 0.097, 0.099, 0.1, 0.102]",
2024-06-26 22:08:12,C&W,False,,ic,"[0.0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]","[0.8206412825651302, 0.174, 0.563, 0.847809, 0.913, 0.958, 0.972, 0.980, 0.984, 0.989, 0.990]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01}","[0, 0.004, 0.007, 0.011, 0.014, 0.018, 0.021, 0.025, 0.028, 0.031, 0.034]",
2024-06-26 23:26:03,C&W,False,,mi,"[0.0, 5, 6, 7, 8, 9]","[0.8206412825651302, 0.990, 0.990, 0.990, 0.990, 0.990]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.034, 0.034, 0.034, 0.034, 0.034]",
2024-06-27 05:40:48,C&W,True,0,binary_search_steps,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.8206412825651302, 0.712, 0.729, 0.724, 0.713, 0.699, 0.677, 0.638, 0.566]","{""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.03, 0.022, 0.02, 0.019, 0.019, 0.017, 0.018, 0.016]","[0, 0.044, 0.087, 0.232, 0.338, 0.459, 0.511, 0.629, 0.731]"
2024-06-27 07:24:46,C&W,True,0,confidence,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.8206412825651302, 0.744, 0.742, 0.729, 0.728, 0.713, 0.710, 0.699, 0.700, 0.701, 0.692]","{""binary_search_steps"": 1, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.035, 0.034, 0.032, 0.033, 0.029, 0.028, 0.027, 0.027, 0.026, 0.026]","[0, 0.088, 0.062, 0.073, 0.068, 0.048, 0.047, 0.043, 0.043, 0.043, 0.051]"
2024-06-27 09:10:00,C&W,True,0,lr,"[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]","[0.8206412825651302, 0.710, 0.687, 0.698, 0.713, 0.720, 0.739, 0.737, 0.752, 0.757, 0.750]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""initial_const"": 1000}","[0, 0.029, 0.031, 0.026, 0.023, 0.022, 0.019, 0.018, 0.017, 0.015, 0.017]","[0, 0.053, 0.034, 0.022, 0.015, 0.02, 0.007, 0.0, 0.0, 0.0, 0.0]"
2024-06-27 10:54:54,C&W,True,0,ic,"[0.0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]","[0.8206412825651302, 0.773, 0.821, 0.829, 0.811, 0.788, 0.771, 0.762, 0.738, 0.723, 0.714]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01}","[0, 0.012, 0.014, 0.017, 0.02, 0.022, 0.024, 0.027, 0.028, 0.029, 0.029]","[0, 0.647, 0.43, 0.181, 0.149, 0.101, 0.072, 0.052, 0.058, 0.048, 0.047]"
2024-06-27 12:07:01,C&W,True,0,mi,"[0.0, 5, 6, 7, 8, 9]","[0.8206412825651302, 0.717, 0.779, 0.836, 0.867, 0.894]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.03, 0.039, 0.046, 0.05, 0.053]","[0, 0.038, 0.101, 0.111, 0.154, 0.186]"
